"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Sftpa1",0,3.36675442738035,0.999,0.57,"0","Sftpa1"
"Sftpb",0,3.16386586346894,0.998,0.334,"0","Sftpb"
"Cxcl15",0,3.02139696447286,0.996,0.246,"0","Cxcl15"
"Scd1",0,2.94932582851225,0.997,0.329,"0","Scd1"
"Slc34a2",0,2.92614097577229,0.997,0.195,"0","Slc34a2"
"Sftpd",0,2.89317816236725,0.997,0.17,"0","Sftpd"
"Sfta2",0,2.66952944669777,0.994,0.103,"0","Sfta2"
"S100g",0,2.62476488148758,0.974,0.12,"0","S100g"
"Chil1",0,2.52889861083007,0.984,0.17,"0","Chil1"
"Lamp3",0,2.37279224911304,0.988,0.088,"0","Lamp3"
"Hc",0,2.35565431100681,0.971,0.081,"0","Hc"
"Lyz1",0,2.30952918983059,0.502,0.174,"0","Lyz1"
"Wfdc2",0,2.02882391002724,0.996,0.228,"0","Wfdc2"
"Lpcat1",0,1.93785136292279,0.974,0.141,"0","Lpcat1"
"Fasn",0,1.83174379768998,0.927,0.101,"0","Fasn"
"Npc2",0,1.83079124666128,0.999,0.763,"0","Npc2"
"Cldn18",0,1.79627970243643,0.945,0.076,"0","Cldn18"
"Atp1b1",0,1.7495483158523,0.971,0.146,"0","Atp1b1"
"Elovl1",0,1.72461966012222,0.927,0.247,"0","Elovl1"
"Ppp1r14c",0,1.71367201006942,0.921,0.064,"0","Ppp1r14c"
"Rnase4",0,1.68664129126317,0.954,0.187,"0","Rnase4"
"Wbp5",0,1.68257663933163,0.97,0.252,"0","Wbp5"
"Bex4",0,1.67818604393118,0.839,0.042,"0","Bex4"
"Dram1",0,1.65893629126847,0.94,0.119,"0","Dram1"
"Cbr2",0,1.65478145515562,0.993,0.305,"0","Cbr2"
"Abca3",0,1.62848522555222,0.937,0.146,"0","Abca3"
"Alcam",0,1.56964648996945,0.971,0.206,"0","Alcam"
"Scd2",0,1.54435522024401,0.921,0.171,"0","Scd2"
"Ptprf",0,1.52964634978291,0.89,0.084,"0","Ptprf"
"Il33",0,1.49881191596653,0.717,0.044,"0","Il33"
"Mid1ip1",0,1.49625574596301,0.867,0.183,"0","Mid1ip1"
"Napsa",0,1.48820797750568,0.973,0.442,"0","Napsa"
"Muc1",0,1.48388579514307,0.847,0.064,"0","Muc1"
"Car8",0,1.47361299424564,0.85,0.066,"0","Car8"
"Etv5",0,1.46882732467484,0.846,0.056,"0","Etv5"
"Gclc",0,1.45951309654852,0.806,0.127,"0","Gclc"
"Bex2",0,1.44770147421638,0.577,0.032,"0","Bex2"
"Ager",0,1.44294750052175,0.942,0.121,"0","Ager"
"Fabp5",0,1.44016863713509,0.93,0.348,"0","Fabp5"
"Apoc1",0,1.42681217732087,0.641,0.07,"0","Apoc1"
"Ank3",0,1.42420778564014,0.851,0.056,"0","Ank3"
"Lgi3",0,1.39552566396346,0.809,0.039,"0","Lgi3"
"Chchd10",0,1.3726876727024,0.965,0.219,"0","Chchd10"
"Nkx2-1",0,1.36298275504085,0.827,0.068,"0","Nkx2-1"
"Atp8a1",0,1.34793779061801,0.909,0.195,"0","Atp8a1"
"Prnp",0,1.34455037539091,0.832,0.079,"0","Prnp"
"Sdc4",0,1.34039316059475,0.914,0.141,"0","Sdc4"
"Atp11a",0,1.33592810182509,0.851,0.129,"0","Atp11a"
"Spint2",0,1.32328477353385,0.931,0.173,"0","Spint2"
"Cldn3",0,1.30367221397862,0.806,0.07,"0","Cldn3"
"Egfl6",0,1.28785869963296,0.76,0.032,"0","Egfl6"
"Tgoln1",0,1.28411776265472,0.88,0.261,"0","Tgoln1"
"Socs2",0,1.27935899173603,0.84,0.131,"0","Socs2"
"Pla2g1b",0,1.27537591215278,0.702,0.032,"0","Pla2g1b"
"Errfi1",0,1.25630527783433,0.741,0.071,"0","Errfi1"
"Zdhhc3",0,1.23790082358405,0.79,0.147,"0","Zdhhc3"
"Acsl4",0,1.21658141590211,0.797,0.134,"0","Acsl4"
"Irx1",0,1.20589897437479,0.717,0.037,"0","Irx1"
"Aqp5",0,1.20536476741777,0.763,0.06,"0","Aqp5"
"Acot7",0,1.1936654394492,0.761,0.132,"0","Acot7"
"Cpm",0,1.17722170315736,0.73,0.058,"0","Cpm"
"Cystm1",0,1.1698384138777,0.807,0.094,"0","Cystm1"
"Abcd3",0,1.16032282967788,0.787,0.11,"0","Abcd3"
"Npw",0,1.15922143587273,0.709,0.04,"0","Npw"
"Ces1d",0,1.13379693148634,0.783,0.092,"0","Ces1d"
"Sdc1",0,1.13313494705182,0.752,0.065,"0","Sdc1"
"Gde1",0,1.124132040468,0.842,0.198,"0","Gde1"
"Cmtm8",0,1.11875723113406,0.747,0.07,"0","Cmtm8"
"Pi4k2b",0,1.11411665587756,0.711,0.065,"0","Pi4k2b"
"Cox6a2",0,1.11075225903203,0.613,0.034,"0","Cox6a2"
"Lcn2",0,1.10211512962335,0.884,0.229,"0","Lcn2"
"Oat",0,1.09555129895184,0.831,0.21,"0","Oat"
"Lyz2",0,1.09267696971437,0.999,0.905,"0","Lyz2"
"Chia1",0,1.08211896113422,0.417,0.031,"0","Chia1"
"Nupr1",0,1.08101606515384,0.817,0.266,"0","Nupr1"
"Kcnj15",0,1.07477024477601,0.646,0.04,"0","Kcnj15"
"Mme",0,1.06953199150099,0.654,0.03,"0","Mme"
"Prr15l",0,1.06196412816039,0.693,0.057,"0","Prr15l"
"Smim6",0,1.05970755805952,0.67,0.048,"0","Smim6"
"Selenbp1",0,1.04891158859125,0.742,0.122,"0","Selenbp1"
"Mettl7a1",0,1.03996873682613,0.806,0.15,"0","Mettl7a1"
"Fgfr2",0,1.03454934388898,0.627,0.043,"0","Fgfr2"
"Rgcc",0,1.02535791412341,0.707,0.142,"0","Rgcc"
"Phlda1",0,1.02381774221941,0.678,0.145,"0","Phlda1"
"Itih4",0,1.02242874723044,0.48,0.023,"0","Itih4"
"Ang",0,1.01127908505065,0.651,0.074,"0","Ang"
"Slc12a2",0,1.00016230767828,0.648,0.072,"0","Slc12a2"
"Cd36",0,0.954309222364616,0.925,0.276,"0","Cd36"
"Cat",0,0.944995461823064,0.808,0.238,"0","Cat"
"Enpep",0,0.941874577364432,0.591,0.026,"0","Enpep"
"Cd63",0,0.929405876228469,0.919,0.274,"0","Cd63"
"H2afj",0,0.924241430732122,0.979,0.663,"0","H2afj"
"Tmem243",0,0.922790661267867,0.73,0.146,"0","Tmem243"
"Rasl11a",0,0.919495410367018,0.53,0.047,"0","Rasl11a"
"Bsg",0,0.918700828069604,0.957,0.516,"0","Bsg"
"Mlc1",0,0.91462720249495,0.589,0.023,"0","Mlc1"
"Tpm1",0,0.9039465885692,0.737,0.137,"0","Tpm1"
"Mecom",0,0.903709553486802,0.631,0.065,"0","Mecom"
"Lrp2",0,0.903099033717833,0.518,0.025,"0","Lrp2"
"Acoxl",0,0.902982896204827,0.525,0.019,"0","Acoxl"
"Snx25",0,0.902298943845634,0.595,0.051,"0","Snx25"
"Tspan11",0,0.901520413239407,0.562,0.033,"0","Tspan11"
"mt-Nd2",0,0.89849381490595,0.999,0.938,"0","mt-Nd2"
"Pmvk",0,0.894645146488072,0.569,0.128,"0","Pmvk"
"Vamp8",0,0.890726049456552,0.981,0.646,"0","Vamp8"
"Map1lc3a",0,0.885809080128376,0.802,0.231,"0","Map1lc3a"
"Slc39a8",0,0.884822481515862,0.61,0.042,"0","Slc39a8"
"Cdh1",0,0.881237753543605,0.702,0.114,"0","Cdh1"
"Exosc7",0,0.876847017301014,0.658,0.109,"0","Exosc7"
"Avpi1",0,0.873460203027896,0.675,0.13,"0","Avpi1"
"Ngfrap1",0,0.867989951416752,0.683,0.137,"0","Ngfrap1"
"Me1",0,0.867713992526852,0.538,0.042,"0","Me1"
"Scp2",0,0.866723517630247,0.952,0.61,"0","Scp2"
"Secisbp2l",0,0.866688718566367,0.677,0.147,"0","Secisbp2l"
"Ccdc141",0,0.864944422625622,0.538,0.031,"0","Ccdc141"
"Smim22",0,0.861513705958337,0.616,0.062,"0","Smim22"
"Adk",0,0.86013275304279,0.646,0.104,"0","Adk"
"Abhd2",0,0.855765114210557,0.598,0.117,"0","Abhd2"
"Slco4c1",0,0.853195675709419,0.543,0.027,"0","Slco4c1"
"Acly",0,0.850197203927363,0.748,0.233,"0","Acly"
"Ctnnb1",0,0.847316277362056,0.861,0.37,"0","Ctnnb1"
"Irx3",0,0.836837461962054,0.553,0.041,"0","Irx3"
"Cadm1",0,0.833556753858788,0.631,0.08,"0","Cadm1"
"Gas6",0,0.833414508521518,0.639,0.083,"0","Gas6"
"Irx2",0,0.822559198920394,0.525,0.039,"0","Irx2"
"Rbpjl",0,0.813886732322852,0.511,0.023,"0","Rbpjl"
"Snhg11",0,0.809495449114006,0.482,0.021,"0","Snhg11"
"Ppic",0,0.808942307352549,0.577,0.06,"0","Ppic"
"Gstt1",0,0.794267386003665,0.522,0.043,"0","Gstt1"
"Iah1",0,0.793570569671938,0.68,0.195,"0","Iah1"
"Adgrf5",0,0.793421888813751,0.79,0.125,"0","Adgrf5"
"Ldhb",0,0.784622660827477,0.605,0.095,"0","Ldhb"
"Phldb2",0,0.783070736079643,0.536,0.052,"0","Phldb2"
"Lrrk2",0,0.782770605304872,0.579,0.097,"0","Lrrk2"
"Ctsh",0,0.778592122698833,0.935,0.598,"0","Ctsh"
"Fdps",0,0.7775144023664,0.517,0.117,"0","Fdps"
"Rab27b",0,0.773066649103482,0.496,0.025,"0","Rab27b"
"Grb14",0,0.769293172127795,0.501,0.04,"0","Grb14"
"Atp6v1c2",0,0.766177446837518,0.49,0.034,"0","Atp6v1c2"
"Cd200",0,0.764744711439684,0.714,0.159,"0","Cd200"
"Mal",0,0.76280923773498,0.485,0.023,"0","Mal"
"Aox3",0,0.760152533389896,0.451,0.035,"0","Aox3"
"Mal2",0,0.755345147897547,0.544,0.057,"0","Mal2"
"Clic3",0,0.752469916322465,0.524,0.057,"0","Clic3"
"Prrg3",0,0.749479069001195,0.461,0.031,"0","Prrg3"
"Lpin2",0,0.740776507795978,0.591,0.116,"0","Lpin2"
"Myh14",0,0.740753200776311,0.514,0.054,"0","Myh14"
"mt-Nd4l",0,0.732220203435644,0.95,0.552,"0","mt-Nd4l"
"Ptgs1",0,0.731417685082485,0.483,0.063,"0","Ptgs1"
"Neat1",0,0.727081293286568,0.921,0.547,"0","Neat1"
"Hmgn1",0,0.726732928817644,0.828,0.34,"0","Hmgn1"
"Ppp1r9a",0,0.72322635459494,0.48,0.037,"0","Ppp1r9a"
"Idi1",0,0.722028365794598,0.503,0.079,"0","Idi1"
"Yae1d1",0,0.721195528099185,0.522,0.073,"0","Yae1d1"
"Met",0,0.716295340975478,0.482,0.046,"0","Met"
"Epcam",0,0.708063227434612,0.588,0.105,"0","Epcam"
"Oaz2",0,0.706634408358537,0.769,0.232,"0","Oaz2"
"Crb3",0,0.704886308253837,0.474,0.038,"0","Crb3"
"mt-Nd5",0,0.699141801478631,0.957,0.629,"0","mt-Nd5"
"Pdzk1ip1",0,0.696234338052392,0.449,0.035,"0","Pdzk1ip1"
"Cldn7",0,0.694867093436927,0.504,0.057,"0","Cldn7"
"Nrn1",0,0.694288577130362,0.265,0.012,"0","Nrn1"
"Soat1",0,0.6941526381337,0.739,0.291,"0","Soat1"
"Gja1",0,0.687761569756084,0.414,0.026,"0","Gja1"
"Arhgef38",0,0.685191452604169,0.426,0.023,"0","Arhgef38"
"Tfrc",0,0.675653029758646,0.423,0.042,"0","Tfrc"
"Nkd1",0,0.674252440298475,0.523,0.053,"0","Nkd1"
"Tmem30a",0,0.673468204805838,0.744,0.309,"0","Tmem30a"
"Matn4",0,0.672104910887515,0.427,0.024,"0","Matn4"
"Mtch1",0,0.671815943752196,0.596,0.157,"0","Mtch1"
"Wwc1",0,0.669352668160373,0.472,0.048,"0","Wwc1"
"Slc31a1",0,0.665740533932605,0.516,0.099,"0","Slc31a1"
"Sgpp2",0,0.665513203192676,0.409,0.018,"0","Sgpp2"
"Smim1",0,0.665286211752819,0.469,0.038,"0","Smim1"
"Acot1",0,0.664966565653648,0.503,0.09,"0","Acot1"
"C6",0,0.662699436897696,0.361,0.021,"0","C6"
"Cebpa",0,0.662218919798908,0.656,0.209,"0","Cebpa"
"Tsc22d1",0,0.662173779788442,0.622,0.152,"0","Tsc22d1"
"Tmem50b",0,0.661721727994084,0.612,0.184,"0","Tmem50b"
"Ift20",0,0.661062649139656,0.768,0.314,"0","Ift20"
"Wls",0,0.659570512513255,0.638,0.186,"0","Wls"
"Cst8",0,0.659285768424466,0.323,0.01,"0","Cst8"
"H1f0",0,0.654313516971109,0.534,0.14,"0","H1f0"
"Dag1",0,0.654148195762552,0.546,0.115,"0","Dag1"
"Gprc5a",0,0.65205616376667,0.481,0.044,"0","Gprc5a"
"Gpx4",0,0.647107990747922,0.982,0.732,"0","Gpx4"
"Dcxr",0,0.646236636427953,0.609,0.153,"0","Dcxr"
"Stmn1",0,0.645909802510358,0.685,0.159,"0","Stmn1"
"Clip4",0,0.645126785575969,0.397,0.031,"0","Clip4"
"Myo5c",0,0.640753041257538,0.434,0.037,"0","Myo5c"
"Bri3",0,0.640453506928409,0.915,0.508,"0","Bri3"
"Bcam",0,0.638919943105365,0.606,0.092,"0","Bcam"
"Ahcyl2",0,0.637786539742241,0.565,0.147,"0","Ahcyl2"
"Kcnc3",0,0.635810039827319,0.395,0.017,"0","Kcnc3"
"Dbi",0,0.635402448652336,0.932,0.607,"0","Dbi"
"Swt1",0,0.632901952837547,0.595,0.155,"0","Swt1"
"Cited2",0,0.631345443757336,0.558,0.165,"0","Cited2"
"Pon3",0,0.630113435053244,0.485,0.085,"0","Pon3"
"Mbip",0,0.621322094433421,0.476,0.07,"0","Mbip"
"Nenf",0,0.618747295426637,0.702,0.239,"0","Nenf"
"Ndufc2",0,0.617079246500049,0.852,0.458,"0","Ndufc2"
"Fdx1",0,0.616995026368446,0.537,0.132,"0","Fdx1"
"Tmem42",0,0.616013477699302,0.448,0.056,"0","Tmem42"
"Prps2",0,0.613131673606187,0.457,0.081,"0","Prps2"
"Rab9",0,0.613091854075969,0.555,0.15,"0","Rab9"
"Serpinb6b",0,0.612543848467885,0.523,0.09,"0","Serpinb6b"
"Anpep",0,0.607572375980122,0.442,0.055,"0","Anpep"
"Dstn",0,0.603324362477307,0.952,0.549,"0","Dstn"
"Kcne2",0,0.602650426864436,0.352,0.014,"0","Kcne2"
"Acsl5",0,0.600749293380024,0.645,0.226,"0","Acsl5"
"Cyb5b",0,0.600627449751471,0.611,0.2,"0","Cyb5b"
"Krt18",0,0.59900789688433,0.414,0.057,"0","Krt18"
"Fads1",0,0.598022134017203,0.403,0.046,"0","Fads1"
"Scgb1c1",0,0.59722693875116,0.373,0.027,"0","Scgb1c1"
"Snx7",0,0.594736135166741,0.413,0.047,"0","Snx7"
"Lmo7",0,0.593696961069144,0.466,0.069,"0","Lmo7"
"Acaca",0,0.592570778908473,0.41,0.045,"0","Acaca"
"AA986860",0,0.592549354827317,0.369,0.025,"0","AA986860"
"Insig1",0,0.587135178372645,0.409,0.078,"0","Insig1"
"Tc2n",0,0.58606359274232,0.402,0.042,"0","Tc2n"
"Irx5",0,0.581198382788061,0.38,0.03,"0","Irx5"
"Ociad2",0,0.580589179017544,0.378,0.017,"0","Ociad2"
"Nedd4",0,0.57547335563555,0.558,0.115,"0","Nedd4"
"Hmgcs1",0,0.573275136514019,0.45,0.112,"0","Hmgcs1"
"Tfcp2l1",0,0.570571804352018,0.358,0.018,"0","Tfcp2l1"
"Itga9",0,0.567661349130549,0.372,0.028,"0","Itga9"
"Tmem164",0,0.566796683706956,0.471,0.107,"0","Tmem164"
"Tnfaip1",0,0.564926626381562,0.448,0.092,"0","Tnfaip1"
"Ccz1",0,0.564541156648445,0.607,0.219,"0","Ccz1"
"Spry1",0,0.562118671295279,0.37,0.032,"0","Spry1"
"Car2",0,0.558664763343681,0.431,0.048,"0","Car2"
"Slc26a9",0,0.556998928589941,0.358,0.019,"0","Slc26a9"
"Nucb2",0,0.55389642053236,0.586,0.2,"0","Nucb2"
"Mgst1",0,0.550869787367073,0.902,0.464,"0","Mgst1"
"Slc15a2",0,0.549054409648187,0.393,0.043,"0","Slc15a2"
"Chka",0,0.547680941764595,0.491,0.131,"0","Chka"
"Adgrg1",0,0.545737432531712,0.378,0.039,"0","Adgrg1"
"Urah",0,0.54441660704563,0.353,0.017,"0","Urah"
"Tceal8",0,0.542695012713132,0.44,0.081,"0","Tceal8"
"Epn3",0,0.538933943287757,0.342,0.022,"0","Epn3"
"Epas1",0,0.538598809010733,0.729,0.178,"0","Epas1"
"Prdx6",0,0.538119088313513,0.857,0.409,"0","Prdx6"
"Npnt",0,0.535986766933115,0.358,0.042,"0","Npnt"
"Ctsc",0,0.535599404352755,0.916,0.527,"0","Ctsc"
"Fam126b",0,0.535443646390555,0.389,0.07,"0","Fam126b"
"Icam1",0,0.533046323666685,0.543,0.164,"0","Icam1"
"Npc1",0,0.532134471047399,0.527,0.163,"0","Npc1"
"Emp2",0,0.529536165875499,0.702,0.119,"0","Emp2"
"Stard10",0,0.529317858325679,0.375,0.045,"0","Stard10"
"Anxa3",0,0.529003460775956,0.653,0.226,"0","Anxa3"
"Snhg18",0,0.527244095065317,0.362,0.038,"0","Snhg18"
"Pvrl2",0,0.527229961852838,0.372,0.038,"0","Pvrl2"
"Brd7",0,0.525963219064794,0.586,0.211,"0","Brd7"
"Hacd3",0,0.525806646919883,0.435,0.094,"0","Hacd3"
"Nckap5",0,0.523903629159245,0.36,0.032,"0","Nckap5"
"Csrp1",0,0.523120588960784,0.549,0.157,"0","Csrp1"
"Plekhb1",0,0.520392998662369,0.372,0.036,"0","Plekhb1"
"Rai14",0,0.51933358526592,0.355,0.038,"0","Rai14"
"Aldh1a7",0,0.516539558509608,0.374,0.037,"0","Aldh1a7"
"Col6a1",0,0.516230192155768,0.356,0.029,"0","Col6a1"
"Rbm47",0,0.515673248581784,0.494,0.14,"0","Rbm47"
"Camk2n1",0,0.515183280219298,0.379,0.052,"0","Camk2n1"
"Ldlr",0,0.5119780530577,0.409,0.091,"0","Ldlr"
"Bambi",0,0.509666382987008,0.341,0.033,"0","Bambi"
"Rbms3",0,0.509172530228377,0.345,0.032,"0","Rbms3"
"Mmp15",0,0.508122780790099,0.353,0.035,"0","Mmp15"
"Krt8",0,0.507416212259181,0.384,0.06,"0","Krt8"
"Uhrf1bp1l",0,0.505384166978137,0.439,0.105,"0","Uhrf1bp1l"
"Foxa2",0,0.50372279394622,0.355,0.038,"0","Foxa2"
"mt-Nd3",0,0.503368282757474,0.973,0.767,"0","mt-Nd3"
"Rab25",0,0.501808703364983,0.349,0.031,"0","Rab25"
"Crip2",0,0.498946142426196,0.733,0.174,"0","Crip2"
"Antxr1",0,0.498392477332898,0.33,0.03,"0","Antxr1"
"Gstt3",0,0.491113148519588,0.358,0.048,"0","Gstt3"
"Adam19",0,0.488723634099088,0.419,0.089,"0","Adam19"
"Rmdn2",0,0.485415277158268,0.316,0.018,"0","Rmdn2"
"Ccnd1",0,0.484160989773122,0.484,0.132,"0","Ccnd1"
"Lurap1l",0,0.482956790686485,0.339,0.037,"0","Lurap1l"
"Sec14l4",0,0.479365960123887,0.32,0.023,"0","Sec14l4"
"Tst",0,0.476322957985462,0.382,0.059,"0","Tst"
"Nrp1",0,0.471878368037139,0.727,0.245,"0","Nrp1"
"Ralgapa2",0,0.471401455109369,0.365,0.062,"0","Ralgapa2"
"Clu",0,0.470917942422691,0.416,0.078,"0","Clu"
"Tinag",0,0.468653090049428,0.288,0.01,"0","Tinag"
"Aplp2",0,0.467989209948116,0.778,0.379,"0","Aplp2"
"Rab27a",0,0.466338366840127,0.406,0.092,"0","Rab27a"
"Tspan2",0,0.465086904082217,0.371,0.06,"0","Tspan2"
"Rprm",0,0.462476639916192,0.293,0.01,"0","Rprm"
"Atp7b",0,0.461345310193857,0.291,0.022,"0","Atp7b"
"App",0,0.459671147161092,0.887,0.465,"0","App"
"5330417C22Rik",0,0.459223259419289,0.317,0.034,"0","5330417C22Rik"
"Scnn1a",0,0.458678807796764,0.408,0.075,"0","Scnn1a"
"Clstn1",0,0.453043348903081,0.387,0.065,"0","Clstn1"
"Ggcx",0,0.447101592870192,0.297,0.029,"0","Ggcx"
"Tmprss4",0,0.443847423282005,0.281,0.017,"0","Tmprss4"
"Ttll7",0,0.441827220302997,0.3,0.028,"0","Ttll7"
"Steap2",0,0.441555783862472,0.275,0.015,"0","Steap2"
"Krt23",0,0.436065574173776,0.271,0.013,"0","Krt23"
"Col4a1",0,0.433359662126282,0.419,0.074,"0","Col4a1"
"H6pd",0,0.425070357323693,0.312,0.047,"0","H6pd"
"St6galnac2",0,0.424452442160409,0.283,0.019,"0","St6galnac2"
"Cxadr",0,0.423048846451688,0.314,0.038,"0","Cxadr"
"Ltbp3",0,0.421279319524547,0.296,0.034,"0","Ltbp3"
"Prss8",0,0.419482120671324,0.278,0.027,"0","Prss8"
"Pls3",0,0.419478951679205,0.359,0.071,"0","Pls3"
"Cdc42bpa",0,0.41750984073967,0.304,0.043,"0","Cdc42bpa"
"Baiap2l1",0,0.41691967021094,0.269,0.024,"0","Baiap2l1"
"Mtcl1",0,0.416139560895605,0.271,0.021,"0","Mtcl1"
"Bmp4",0,0.413679660757432,0.285,0.026,"0","Bmp4"
"Npr1",0,0.412662709667977,0.309,0.042,"0","Npr1"
"Gpx8",0,0.412409708302346,0.325,0.045,"0","Gpx8"
"Cgnl1",0,0.412371675903272,0.289,0.036,"0","Cgnl1"
"Bend7",0,0.411247471488295,0.273,0.021,"0","Bend7"
"Dock9",0,0.409549056490419,0.334,0.058,"0","Dock9"
"Ehf",0,0.407669298469572,0.27,0.02,"0","Ehf"
"Maob",0,0.404029681508839,0.269,0.018,"0","Maob"
"Stx19",0,0.403956759505168,0.252,0.013,"0","Stx19"
"Rap1gap",0,0.40275722671666,0.251,0.015,"0","Rap1gap"
"Rtkn",0,0.39799969083909,0.261,0.016,"0","Rtkn"
"Gsta4",0,0.394091401611967,0.316,0.046,"0","Gsta4"
"Mthfd1",0,0.388554814428519,0.348,0.055,"0","Mthfd1"
"Pip5k1b",0,0.387535448060333,0.259,0.023,"0","Pip5k1b"
"Tspan12",0,0.383072563638117,0.3,0.039,"0","Tspan12"
"Mylk",0,0.380545171265576,0.32,0.043,"0","Mylk"
"Tinagl1",0,0.368849881294777,0.334,0.044,"0","Tinagl1"
"Sepp1",0,0.36642695886093,0.925,0.528,"0","Sepp1"
"Tns1",0,0.366117272892012,0.486,0.16,"0","Tns1"
"Il18r1",0,0.338130934232647,0.37,0.088,"0","Il18r1"
"Col4a2",0,0.336740291863456,0.314,0.056,"0","Col4a2"
"AU021092",0,0.336482019870249,0.305,0.045,"0","AU021092"
"Tspan8",0,0.329543051491643,0.322,0.051,"0","Tspan8"
"Sparc",0,0.324593188523818,0.571,0.102,"0","Sparc"
"Cryab",0,0.308393238523345,0.304,0.058,"0","Cryab"
"Limch1",0,0.299194490863102,0.32,0.052,"0","Limch1"
"Sptbn1",0,0.288952100660838,0.635,0.271,"0","Sptbn1"
"Nfib",0,0.286019455575866,0.406,0.102,"0","Nfib"
"Cd81",0,0.271040225210107,0.682,0.288,"0","Cd81"
"Apoa1bp",1.97626258336499e-323,0.479095362791649,0.542,0.183,"0","Apoa1bp"
"Gpt",6.91691904177745e-322,0.388667444517942,0.255,0.026,"0","Gpt"
"Tmem159",8.79436849597419e-322,0.482569180039948,0.406,0.095,"0","Tmem159"
"Lbp",1.72143340455299e-318,0.402362712382821,0.301,0.047,"0","Lbp"
"D230025D16Rik",3.29196433889668e-318,0.447202669992806,0.38,0.082,"0","D230025D16Rik"
"Pvrl1",4.7786520861083e-316,0.426002023286663,0.309,0.047,"0","Pvrl1"
"Azin1",7.53943645421304e-315,0.571290653874982,0.548,0.19,"0","Azin1"
"Ddt",2.13503297300985e-311,0.492524678821112,0.502,0.159,"0","Ddt"
"Ramp1",9.32337981188641e-311,0.43754814404875,0.754,0.374,"0","Ramp1"
"Tmem205",6.81918220340873e-309,0.448530988774999,0.478,0.144,"0","Tmem205"
"Scamp1",4.03629435728798e-308,0.445942330082682,0.339,0.063,"0","Scamp1"
"Siva1",7.18007559780194e-308,0.51849450227329,0.616,0.246,"0","Siva1"
"Chd3",1.39086882905023e-305,0.340535542429678,0.514,0.194,"0","Chd3"
"Npdc1",7.17307741710676e-305,0.316437336398899,0.288,0.055,"0","Npdc1"
"Tcea3",3.93312278038536e-303,0.372926462797961,0.343,0.078,"0","Tcea3"
"Fgf1",4.1680241552316e-303,0.331735199645173,0.259,0.039,"0","Fgf1"
"Serpinb9",3.67523298287321e-302,0.360005485688638,0.319,0.068,"0","Serpinb9"
"Fkbp4",5.97181770005291e-301,0.458322593002421,0.648,0.278,"0","Fkbp4"
"Acat2",9.73027410569602e-301,0.397131612266266,0.283,0.04,"0","Acat2"
"Polr1c",1.10538054690595e-300,0.447234606707059,0.481,0.15,"0","Polr1c"
"Fam84b",1.75803878309304e-300,0.354803871261569,0.297,0.054,"0","Fam84b"
"C77080",4.20255810973305e-300,0.424280428057154,0.313,0.054,"0","C77080"
"Pgs1",1.01219660809471e-298,0.444510401748203,0.481,0.15,"0","Pgs1"
"Usp33",1.15696892791936e-296,0.426473221106386,0.355,0.076,"0","Usp33"
"Amotl2",4.68447839838773e-296,0.387299430126317,0.307,0.057,"0","Amotl2"
"Tmbim6",7.37121911440317e-290,0.41651245706877,0.94,0.669,"0","Tmbim6"
"Sod1",1.11403111497624e-289,0.425742224348153,0.726,0.356,"0","Sod1"
"Tmem110",3.42103434054588e-289,0.375608246120949,0.303,0.054,"0","Tmem110"
"Nav2",3.15065158782536e-288,0.443860739884403,0.377,0.089,"0","Nav2"
"mt-Atp8",2.64020251941067e-286,0.45587784333659,0.869,0.532,"0","mt-Atp8"
"Arf6",2.60733311077689e-285,0.4953775513852,0.684,0.319,"0","Arf6"
"Ptms",3.9757893766464e-284,0.27437525852817,0.67,0.336,"0","Ptms"
"Alad",5.79176679881301e-284,0.365578772383148,0.313,0.063,"0","Alad"
"Uqcr11",3.56356099158885e-282,0.424840255604426,0.936,0.656,"0","Uqcr11"
"Lrg1",5.53777659475359e-281,0.601339158305852,0.577,0.23,"0","Lrg1"
"Cbx6",3.32414311593099e-279,0.329267878523569,0.307,0.069,"0","Cbx6"
"Pbx1",1.05636204925702e-276,0.421460560093352,0.501,0.177,"0","Pbx1"
"Nedd4l",8.08224262926081e-276,0.353786382218766,0.26,0.039,"0","Nedd4l"
"Aldh2",1.0413890120242e-275,0.258234759422218,0.777,0.447,"0","Aldh2"
"Vimp",1.32003231434842e-275,0.459958102532966,0.756,0.397,"0","Vimp"
"Maged1",1.53315547363398e-274,0.384927262614061,0.319,0.066,"0","Maged1"
"Sult1a1",2.98803308244912e-274,0.331825873967358,0.271,0.047,"0","Sult1a1"
"Pgm2",9.7026560206517e-274,0.356249307840253,0.288,0.051,"0","Pgm2"
"Hmgb3",1.99591028734782e-273,0.335026489007561,0.254,0.037,"0","Hmgb3"
"Anapc13",2.96714844119836e-273,0.459234052981997,0.779,0.428,"0","Anapc13"
"Atp2a2",2.35901970482622e-270,0.433152548587513,0.49,0.169,"0","Atp2a2"
"Nfia",2.74418080048775e-269,0.402765047818148,0.376,0.1,"0","Nfia"
"Msmo1",3.39557521615839e-268,0.463926105059004,0.405,0.111,"0","Msmo1"
"Dhcr24",6.41003296374323e-267,0.398072874214384,0.303,0.058,"0","Dhcr24"
"Nfix",1.04577063632271e-266,0.426236290407143,0.48,0.164,"0","Nfix"
"Usp8",1.02637008264699e-265,0.457836502390013,0.469,0.154,"0","Usp8"
