"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Cd474",1.44966072213364e-22,0.267137320704689,0.753,0.655,"7","Cd47"
"Taf6l2",2.89645553335981e-22,0.290410728840588,0.39,0.328,"7","Taf6l"
"Clec12a1",4.09903176590246e-22,0.366234822756294,0.308,0.16,"7","Clec12a"
"Tgm21",4.28331313955529e-22,0.402475748342261,0.296,0.149,"7","Tgm2"
"Wsb1",5.17478277405141e-22,0.341048355024268,0.285,0.163,"7","Wsb1"
"Gsto17",6.21586129804931e-22,0.357327389717863,0.416,0.254,"7","Gsto1"
"Lrrfip12",9.40310280807128e-22,0.308004794057785,0.447,0.374,"7","Lrrfip1"
"Ube2f1",1.00129266013422e-21,0.308965863341782,0.318,0.223,"7","Ube2f"
"Mob1a3",2.56567804413916e-21,0.324741297247863,0.445,0.326,"7","Mob1a"
"Actr32",2.64773857308783e-21,0.265006068020532,0.792,0.695,"7","Actr3"
"Sirpa5",2.8336404455929e-21,0.271728548667897,0.463,0.288,"7","Sirpa"
"Zfp362",4.76962625530408e-21,0.282222152829747,0.519,0.441,"7","Zfp36"
"1110008F13Rik4",5.20849873658887e-21,0.260886544369473,0.573,0.518,"7","1110008F13Rik"
"Arhgef14",5.23761102574447e-21,0.341471066254458,0.463,0.361,"7","Arhgef1"
"Chmp32",5.61899444842969e-21,0.260118581859102,0.372,0.312,"7","Chmp3"
"Dock22",1.18727921207469e-20,0.358420846630522,0.376,0.241,"7","Dock2"
"Rab101",1.34076972802758e-20,0.267473404075553,0.419,0.356,"7","Rab10"
"Ctsa7",1.70027434787186e-20,0.356240867439953,0.511,0.375,"7","Ctsa"
"Stk17b3",1.87392228564321e-20,0.356372599547294,0.552,0.4,"7","Stk17b"
"Svil",1.92740207584593e-20,0.296165677422433,0.311,0.228,"7","Svil"
"Apobec11",2.67510517049964e-20,0.346319429510348,0.262,0.131,"7","Apobec1"
"Ifngr22",3.34397109551037e-20,0.325773643758442,0.357,0.222,"7","Ifngr2"
"Gpsm32",5.10713851638165e-20,0.318554190181308,0.568,0.399,"7","Gpsm3"
"Sirpb1b2",6.73262187804691e-20,0.352435781980676,0.278,0.137,"7","Sirpb1b"
"Pitpna6",8.10381112357646e-20,0.293778288365679,0.525,0.459,"7","Pitpna"
"Xdh1",1.0430787919527e-19,0.322714646629432,0.282,0.172,"7","Xdh"
"Asap11",1.12544581484449e-19,0.314290339854234,0.298,0.202,"7","Asap1"
"Tpm43",1.32691716656214e-19,0.303491692918776,0.532,0.447,"7","Tpm4"
"Serinc34",1.39866974968739e-19,0.251284265924738,0.684,0.599,"7","Serinc3"
"Ikzf13",1.83093915245689e-19,0.348035833264517,0.352,0.207,"7","Ikzf1"
"Capza12",2.92448489516221e-19,0.283876641557964,0.427,0.35,"7","Capza1"
"5031439G07Rik",3.16357099074914e-19,0.297559474062905,0.252,0.148,"7","5031439G07Rik"
"Fam105a5",4.26338468949394e-19,0.338842374010419,0.417,0.287,"7","Fam105a"
"AI4135823",1.58972701470584e-18,0.263035737681803,0.306,0.238,"7","AI413582"
"Fam107b2",4.63887934405603e-18,0.348304536956365,0.345,0.207,"7","Fam107b"
"Il13ra12",9.70455387240327e-18,0.277707859810715,0.265,0.186,"7","Il13ra1"
"D1Ertd622e3",1.0038168375801e-17,0.321663180391963,0.339,0.21,"7","D1Ertd622e"
"Tmem14c6",1.25210285480934e-17,0.263669006509915,0.584,0.504,"7","Tmem14c"
"Gm51502",1.49754070429268e-17,0.332286461697063,0.282,0.152,"7","Gm5150"
"Kdm7a3",1.49785034009718e-17,0.315758135237646,0.368,0.251,"7","Kdm7a"
"Sppl2a1",1.73508292960749e-17,0.279785516452253,0.303,0.213,"7","Sppl2a"
"Sh3bgrl7",2.99569993481797e-17,0.299511202303929,0.514,0.415,"7","Sh3bgrl"
"Vsir4",5.15720259739912e-17,0.27417600438705,0.462,0.316,"7","Vsir"
"Notch2",6.46502873231995e-17,0.308996601334524,0.255,0.17,"7","Notch2"
"Celf22",1.7420980433064e-16,0.284276157482417,0.532,0.43,"7","Celf2"
